cycle,visit_id,config_id,altslot_id,slot_id,slotdur,ra,dec,elat,glat,orient,inst,mode,categ,apt_target,apt_tile,apt_config,apt_pointing,apt_exposure
1,01176241001,01176241001_10102,01176241001_10102_03,01176241001_0007,661,15.765725,-49.270892,-49.977301,-67.744101,21.597302730000024,NIRCam,Imaging,GTO,1,1,2,7,3
1,01176241001,01176241001_10102,01176241001_10102_04,01176241001_0008,661,15.766739,-49.269361,-49.976465,-67.745541,21.597302730000024,NIRCam,Imaging,GTO,1,1,2,8,4
1,01176241001,01176241001_10103,01176241001_10103_01,01176241001_0009,542,15.764394,-49.268699,-49.975022,-67.746381,21.597302730000024,NIRCam,Imaging,GTO,1,1,3,9,1
1,01176241001,01176241001_10103,01176241001_10103_02,01176241001_0010,511,15.763379,-49.270230,-49.975858,-67.744940,21.597302730000024,NIRCam,Imaging,GTO,1,1,3,10,2
1,01176241001,01176241001_10103,01176241001_10103_03,01176241001_0011,511,15.765725,-49.270892,-49.977301,-67.744101,21.597302730000024,NIRCam,Imaging,GTO,1,1,3,11,3
1,01176241001,01176241001_10103,01176241001_10103_04,01176241001_0012,511,15.766739,-49.269361,-49.976465,-67.745541,21.597302730000024,NIRCam,Imaging,GTO,1,1,3,12,4
1,01176241001,01176241001_10104,01176241001_10104_01,01176241001_0013,596,15.764394,-49.268699,-49.975022,-67.746381,21.597302730000024,NIRCam,Imaging,GTO,1,1,4,13,1
1,01176241001,01176241001_10104,01176241001_10104_02,01176241001_0014,565,15.763379,-49.270230,-49.975858,-67.744940,21.597302730000024,NIRCam,Imaging,GTO,1,1,4,14,2
1,01176241001,01176241001_10104,01176241001_10104_03,01176241001_0015,565,15.765725,-49.270892,-49.977301,-67.744101,21.597302730000024,NIRCam,Imaging,GTO,1,1,4,15,3
1,01176241001,01176241001_10104,01176241001_10104_04,01176241001_0016,565,15.766739,-49.269361,-49.976465,-67.745541,21.597302730000024,NIRCam,Imaging,GTO,1,1,4,16,4
1,01176251001,01176251001_10101,01176251001_10101_01,01176251001_0001,692,171.789468,42.475271,35.285497,66.992400,159.0713531,NIRCam,Imaging,GTO,1,1,1,1,1
1,01176251001,01176251001_10101,01176251001_10101_02,01176251001_0002,661,171.788728,42.476846,35.286614,66.991048,159.0713531,NIRCam,Imaging,GTO,1,1,1,2,2
1,01176251001,01176251001_10101,01176251001_10101_03,01176251001_0003,661,171.786592,42.476301,35.285376,66.990072,159.0713531,NIRCam,Imaging,GTO,1,1,1,3,3
1,01176251001,01176251001_10101,01176251001_10101_04,01176251001_0004,661,171.787332,42.474725,35.284259,66.991424,159.0713531,NIRCam,Imaging,GTO,1,1,1,4,4
1,01176251001,01176251001_10102,01176251001_10102_01,01176251001_0005,692,171.789468,42.475271,35.285497,66.992400,159.0713531,NIRCam,Imaging,GTO,1,1,2,5,1
1,01176251001,01176251001_10102,01176251001_10102_02,01176251001_0006,661,171.788728,42.476846,35.286614,66.991048,159.0713531,NIRCam,Imaging,GTO,1,1,2,6,2
1,01176251001,01176251001_10102,01176251001_10102_03,01176251001_0007,661,171.786592,42.476301,35.285376,66.990072,159.0713531,NIRCam,Imaging,GTO,1,1,2,7,3
1,01176251001,01176251001_10102,01176251001_10102_04,01176251001_0008,661,171.787332,42.474725,35.284259,66.991424,159.0713531,NIRCam,Imaging,GTO,1,1,2,8,4
1,01176251001,01176251001_10103,01176251001_10103_01,01176251001_0009,542,171.789468,42.475271,35.285497,66.992400,159.0713531,NIRCam,Imaging,GTO,1,1,3,9,1
1,01176251001,01176251001_10103,01176251001_10103_02,01176251001_0010,511,171.788728,42.476846,35.286614,66.991048,159.0713531,NIRCam,Imaging,GTO,1,1,3,10,2
1,01176251001,01176251001_10103,01176251001_10103_03,01176251001_0011,511,171.786592,42.476301,35.285376,66.990072,159.0713531,NIRCam,Imaging,GTO,1,1,3,11,3
1,01176251001,01176251001_10103,01176251001_10103_04,01176251001_0012,511,171.787332,42.474725,35.284259,66.991424,159.0713531,NIRCam,Imaging,GTO,1,1,3,12,4
1,01176251001,01176251001_10104,01176251001_10104_01,01176251001_0013,596,171.789468,42.475271,35.285497,66.992400,159.0713531,NIRCam,Imaging,GTO,1,1,4,13,1
1,01176251001,01176251001_10104,01176251001_10104_02,01176251001_0014,565,171.788728,42.476846,35.286614,66.991048,159.0713531,NIRCam,Imaging,GTO,1,1,4,14,2
1,01176251001,01176251001_10104,01176251001_10104_03,01176251001_0015,565,171.786592,42.476301,35.285376,66.990072,159.0713531,NIRCam,Imaging,GTO,1,1,4,15,3
1,01176251001,01176251001_10104,01176251001_10104_04,01176251001_0016,565,171.787332,42.474725,35.284259,66.991424,159.0713531,NIRCam,Imaging,GTO,1,1,4,16,4
1,01176261001,01176261001_10101,01176261001_10101_01,01176261001_0001,692,130.610841,1.642879,-15.994407,25.297137,,NIRCam,Imaging,GTO,1,1,1,1,1
1,01176261001,01176261001_10101,01176261001_10101_02,01176261001_0002,661,130.610788,1.641213,-15.996027,25.296272,,NIRCam,Imaging,GTO,1,1,1,2,2
1,01176261001,01176261001_10101,01176261001_10101_03,01176261001_0003,661,130.612455,1.641159,-15.995629,25.297698,,NIRCam,Imaging,GTO,1,1,1,3,3
1,01176261001,01176261001_10101,01176261001_10101_04,01176261001_0004,661,130.612509,1.642826,-15.994010,25.298563,,NIRCam,Imaging,GTO,1,1,1,4,4
1,01176261001,01176261001_10102,01176261001_10102_01,01176261001_0005,542,130.610841,1.642879,-15.994407,25.297137,,NIRCam,Imaging,GTO,1,1,2,5,1
1,01176261001,01176261001_10102,01176261001_10102_02,01176261001_0006,511,130.610788,1.641213,-15.996027,25.296272,,NIRCam,Imaging,GTO,1,1,2,6,2
1,01176261001,01176261001_10102,01176261001_10102_03,01176261001_0007,511,130.612455,1.641159,-15.995629,25.297698,,NIRCam,Imaging,GTO,1,1,2,7,3
1,01176261001,01176261001_10102,01176261001_10102_04,01176261001_0008,511,130.612509,1.642826,-15.994010,25.298563,,NIRCam,Imaging,GTO,1,1,2,8,4
1,01176261001,01176261001_10103,01176261001_10103_01,01176261001_0009,542,130.610841,1.642879,-15.994407,25.297137,,NIRCam,Imaging,GTO,1,1,3,9,1
1,01176261001,01176261001_10103,01176261001_10103_02,01176261001_0010,511,130.610788,1.641213,-15.996027,25.296272,,NIRCam,Imaging,GTO,1,1,3,10,2
1,01176261001,01176261001_10103,01176261001_10103_03,01176261001_0011,511,130.612455,1.641159,-15.995629,25.297698,,NIRCam,Imaging,GTO,1,1,3,11,3
1,01176261001,01176261001_10103,01176261001_10103_04,01176261001_0012,511,130.612509,1.642826,-15.994010,25.298563,,NIRCam,Imaging,GTO,1,1,3,12,4
1,01176271001,01176271001_10101,01176271001_10101_01,01176271001_0001,692,183.107027,27.552888,26.328176,81.328817,,NIRCam,Imaging,GTO,1,1,1,1,1
1,01176271001,01176271001_10101,01176271001_10101_02,01176271001_0002,661,183.106966,27.551221,26.326658,81.328779,,NIRCam,Imaging,GTO,1,1,1,2,2
1,01176271001,01176271001_10101,01176271001_10101_03,01176271001_0003,661,183.108846,27.551168,26.327348,81.330446,,NIRCam,Imaging,GTO,1,1,1,3,3
1,01176271001,01176271001_10101,01176271001_10101_04,01176271001_0004,661,183.108907,27.552834,26.328866,81.330484,,NIRCam,Imaging,GTO,1,1,1,4,4
1,01176271001,01176271001_10102,01176271001_10102_01,01176271001_0005,542,183.107027,27.552888,26.328176,81.328817,,NIRCam,Imaging,GTO,1,1,2,5,1
1,01176271001,01176271001_10102,01176271001_10102_02,01176271001_0006,511,183.106966,27.551221,26.326658,81.328779,,NIRCam,Imaging,GTO,1,1,2,6,2
1,01176271001,01176271001_10102,01176271001_10102_03,01176271001_0007,511,183.108846,27.551168,26.327348,81.330446,,NIRCam,Imaging,GTO,1,1,2,7,3
1,01176271001,01176271001_10102,01176271001_10102_04,01176271001_0008,511,183.108907,27.552834,26.328866,81.330484,,NIRCam,Imaging,GTO,1,1,2,8,4
1,01176271001,01176271001_10103,01176271001_10103_01,01176271001_0009,542,183.107027,27.552888,26.328176,81.328817,,NIRCam,Imaging,GTO,1,1,3,9,1
1,01176271001,01176271001_10103,01176271001_10103_02,01176271001_0010,511,183.106966,27.551221,26.326658,81.328779,,NIRCam,Imaging,GTO,1,1,3,10,2
